N,S,count,time taken(ms)
10000000,1,220103124,1293
10000000,2,220103124,1289
10000000,3,220103069,1210
10000000,4,220224663,1257
10000000,5,221108417,1305
10000000,6,221108417,1188
10000000,7,221108417,1176
10000000,8,221108417,1260
10000000,9,223145101,1165
10000000,10,226414917,1146
10000000,11,226414917,1158
10000000,12,226414917,1137
10000000,13,226414917,1142
10000000,14,226414917,1142
10000000,15,226414917,1136
10000000,16,226414917,1197
10000000,17,226414917,1220
10000000,18,226414917,1237
10000000,19,241010528,1186
10000000,20,242325847,1154
10000000,21,242325847,1238
10000000,22,242325847,1193
10000000,23,242325847,1120
10000000,24,242325847,1162
10000000,25,242325847,1089
10000000,26,242325847,1114
10000000,27,242325847,1130
10000000,28,242325847,1096
10000000,29,242325847,1246
10000000,30,242325847,1114
10000000,31,242325847,1094
10000000,32,242325847,1209
10000000,33,242325847,1127
10000000,34,242325847,1168
10000000,35,242325847,1137
10000000,36,242325847,1172
10000000,37,242325847,1224
10000000,38,275270039,1076
10000000,39,281276406,1070
10000000,40,281276406,1068
10000000,41,281276406,1078
10000000,42,281276406,1146
10000000,43,281276406,1098
10000000,44,281276406,1128
10000000,45,281276406,1094
10000000,46,281276406,1130
10000000,47,281276406,1075
10000000,48,281276406,1072
10000000,49,281276406,1066
10000000,50,281276406,1110
10000000,51,281276406,1067
10000000,52,281276406,1079
10000000,53,281276406,1091
10000000,54,281276406,1085
10000000,55,281276406,1088
10000000,56,281276406,1088
10000000,57,281276406,1073
10000000,58,281276406,1078
10000000,59,281276406,1144
10000000,60,281276406,1081
10000000,61,281276406,1087
10000000,62,281276406,1080
10000000,63,281276406,1095
10000000,64,281276406,1134
10000000,65,281276406,1139
10000000,66,281276406,1077
10000000,67,281276406,1091
10000000,68,281276406,1080
10000000,69,281276406,1108
10000000,70,281276406,1119
10000000,71,281276406,1088
10000000,72,281276406,1134
10000000,73,281276406,1095
10000000,74,281276406,1083
10000000,75,281276406,1203
10000000,76,341576101,1123
10000000,77,367398337,1159
10000000,78,367398337,1156
10000000,79,367398337,1141
10000000,80,367398337,1155
10000000,81,367398337,1219
10000000,82,367398337,1287
10000000,83,367398337,1277
10000000,84,367398337,1233
10000000,85,367398337,1160
10000000,86,367398337,1152
10000000,87,367398337,1222
10000000,88,367398337,1212
10000000,89,367398337,1156
10000000,90,367398337,1190
10000000,91,367398337,1206
10000000,92,367398337,1184
10000000,93,367398337,1170
10000000,94,367398337,1158
10000000,95,367398337,1183
10000000,96,367398337,1185
10000000,97,367398337,1178
10000000,98,367398337,1172
10000000,99,367398337,1154
10000000,100,367398337,1180
